company_name,funding_stage,total_raised_m,headcount_range,valuation_m,last_round_date,source
Stripe,Late Stage,2000,7000+,95000,2023-03,Crunchbase
Airbnb,Public,6400,6800+,75000,2020-12,Crunchbase
Notion,Series C,343,500-1000,10000,2021-10,Crunchbase
Linear,Series B,52,50-200,400,2022-04,Crunchbase
Figma,Acquired,333,1000+,20000,2022-09,Crunchbase
Vercel,Series C,313,300-500,2500,2023-05,Crunchbase
Anthropic,Series C,7300,300-500,18000,2023-09,Crunchbase
OpenAI,Late Stage,11300,1000+,80000,2023-01,Crunchbase
Scale AI,Series E,603,500-1000,7300,2021-04,Crunchbase
Databricks,Late Stage,3500,5000+,43000,2023-09,Crunchbase
Rippling,Series D,700,1000+,13400,2023-03,Crunchbase
Ramp,Series D,1200,500-1000,8100,2023-08,Crunchbase
Brex,Series D,1500,1000+,12300,2022-01,Crunchbase
Mercury,Series B,120,200-500,1600,2021-07,Crunchbase
Plaid,Series D,734,500-1000,13400,2021-04,Crunchbase
Instacart,Public,2700,3000+,10000,2021-03,Crunchbase
DoorDash,Public,2500,8000+,48000,2020-06,Crunchbase
Faire,Series G,1100,1000+,12400,2022-11,Crunchbase
Flexport,Series E,2300,3000+,8000,2022-02,Crunchbase
Gusto,Series E,700,2000+,9600,2021-08,Crunchbase
Retool,Series C,195,200-500,3200,2022-04,Crunchbase
Airtable,Series F,1360,1000+,11000,2021-12,Crunchbase
Miro,Series C,476,1000+,17500,2022-01,Crunchbase
Canva,Late Stage,572,3500+,40000,2021-09,Crunchbase
Discord,Late Stage,995,1000+,15000,2021-09,Crunchbase
Weights & Biases,Series C,250,200-500,1000,2022-06,Crunchbase
Hugging Face,Series D,395,200-500,4500,2023-08,Crunchbase
Replit,Series B,97,50-200,1160,2023-04,Crunchbase
Sourcegraph,Series D,225,200-500,2600,2021-07,Crunchbase
GitLab,Public,434,2000+,8000,2018-09,Crunchbase
